# Logfile created on 2025-09-02 16:29:52 +0200 by logger.rb/v1.5.3
2025-09-02 16:29:53 +0200: Memory Usage (433088K) : antmetal1_drw has 0 polygons
2025-09-02 16:29:53 +0200: Memory Usage (433088K) : topvia2_drw has 1308 polygons
2025-09-02 16:29:53 +0200: Memory Usage (433088K) : topmetal2_drw has 36 polygons
2025-09-02 16:29:53 +0200: Memory Usage (433088K) : topmetal2_pin has 0 polygons
2025-09-02 16:29:53 +0200: Memory Usage (433088K) : topmetal2_mask has 0 polygons
2025-09-02 16:29:53 +0200: Memory Usage (433088K) : topmetal2_filler has 623 polygons
2025-09-02 16:29:53 +0200: Memory Usage (433088K) : topmetal2_nofill has 0 polygons
2025-09-02 16:29:53 +0200: Memory Usage (433088K) : topmetal2_slit has 0 polygons
2025-09-02 16:29:53 +0200: Memory Usage (433088K) : topmetal2_text has 0 polygons
2025-09-02 16:29:53 +0200: Memory Usage (433088K) : topmetal2_noqrc has 0 polygons
2025-09-02 16:29:53 +0200: Memory Usage (433088K) : topmetal2_res has 0 polygons
2025-09-02 16:29:53 +0200: Memory Usage (433088K) : topmetal2_iprobe has 0 polygons
2025-09-02 16:29:53 +0200: Memory Usage (433088K) : topmetal2_diffprb has 0 polygons
2025-09-02 16:29:53 +0200: Memory Usage (433088K) : snsring_drw has 0 polygons
2025-09-02 16:29:53 +0200: Memory Usage (433088K) : sensor_drw has 0 polygons
2025-09-02 16:29:53 +0200: Memory Usage (433088K) : snsarms_drw has 0 polygons
2025-09-02 16:29:53 +0200: Memory Usage (433088K) : snscmosvia_drw has 0 polygons
2025-09-02 16:29:53 +0200: Memory Usage (433088K) : colwind_drw has 0 polygons
2025-09-02 16:29:53 +0200: Memory Usage (433088K) : flm_drw has 0 polygons
2025-09-02 16:29:53 +0200: Memory Usage (433088K) : hafniumox_drw has 0 polygons
2025-09-02 16:29:53 +0200: Memory Usage (433088K) : memvia_drw has 0 polygons
2025-09-02 16:29:53 +0200: Memory Usage (433088K) : thinfilmres_drw has 0 polygons
2025-09-02 16:29:53 +0200: Memory Usage (433088K) : rfmem_drw has 0 polygons
2025-09-02 16:29:53 +0200: Memory Usage (433088K) : norcx_drw has 0 polygons
2025-09-02 16:29:53 +0200: Memory Usage (433088K) : norcx_m2m3 has 0 polygons
2025-09-02 16:29:53 +0200: Memory Usage (433088K) : norcx_m2m4 has 0 polygons
